"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Apr 27 22:53:02 IST 2019","Sat Apr 27 22:53:03 IST 2019","637","","Sangam.com LoginPage","","Sangam.com LoginPage","should goto /privacy-settings when profile img is clicked","should goto /privacy-settings when profile img is clicked",""
"passed","Sat Apr 27 22:52:36 IST 2019","Sat Apr 27 22:53:00 IST 2019","24522","","Sangam.com Matches Page","","Sangam.com Matches Page","should login","should login",""
"passed","Sat Apr 27 22:52:35 IST 2019","Sat Apr 27 22:52:58 IST 2019","22203","","Sangam.com LoginPage","","Sangam.com LoginPage","should login","should login",""
"passed","Sat Apr 27 22:52:58 IST 2019","Sat Apr 27 22:53:00 IST 2019","2115","","Sangam.com LoginPage","","Sangam.com LoginPage","should goto home page","should goto home page",""
"passed","Sat Apr 27 22:49:57 IST 2019","Sat Apr 27 22:49:58 IST 2019","895","","Interaction Page","","Interaction Page","should goto /home page","should goto /home page",""
"passed","Sat Apr 27 22:53:01 IST 2019","Sat Apr 27 22:53:02 IST 2019","1131","","Sangam.com LoginPage","","Sangam.com LoginPage","should goto /preview-profile when editBiodata link is clicked","should goto /preview-profile when editBiodata link is clicked",""
"passed","Sat Apr 27 22:53:00 IST 2019","Sat Apr 27 22:53:01 IST 2019","1468","","Sangam.com LoginPage","","Sangam.com LoginPage","should go to /edit-pp when editPP link is clicked","should go to /edit-pp when editPP link is clicked",""
"broken","Sat Apr 27 22:44:39 IST 2019","Sat Apr 27 22:45:39 IST 2019","60054","","Edit Profile Page","","Edit Profile Page","should login","should login",""
"broken","Sat Apr 27 22:45:39 IST 2019","Sat Apr 27 22:45:44 IST 2019","4852","","Edit Profile Page","","Edit Profile Page","should edit Family Details","should edit Family Details",""
"passed","Sat Apr 27 22:53:00 IST 2019","Sat Apr 27 22:53:02 IST 2019","1613","","Sangam.com Matches Page","","Sangam.com Matches Page","should open matches page","should open matches page",""
